codmun,pharmacy,hospital,police,school,bank,embassy,tower,commercial,industrial,government,supermarket,park,primary,secondary,unpaved,paved
1408,30,0,0,6,28,0,366,0,0,0,0,0,239,268,160,39
1409,2,1,1,2,1,0,200,0,0,0,0,0,42,66,11,19
1434,16,3,3,12,18,0,450,0,0,0,0,0,24,402,603,176
1435,5,0,2,1,2,0,351,0,0,0,0,0,72,35,332,26
1437,6,0,1,2,5,0,131,0,0,0,0,0,0,81,74,0
1607,48,2,2,17,8,0,632,0,1,0,0,0,247,316,228,224
1608,13,0,0,6,8,0,370,0,0,0,0,0,215,202,23,38
1611,3,0,0,5,1,0,334,0,0,0,0,0,108,137,17,16
1661,19,4,1,5,13,1,335,0,0,0,0,0,146,361,85,47
1602,4,1,1,11,2,0,159,0,0,0,0,0,46,116,9,9
1605,0,0,0,8,0,0,383,0,0,0,0,0,41,113,13,16
1601,9,0,0,8,0,0,491,0,0,0,0,0,162,159,93,81
1606,5,1,2,9,6,0,268,0,0,0,0,0,70,46,27,40
1610,5,1,0,6,5,0,234,0,0,0,0,0,143,93,22,22
1603,12,1,1,19,3,0,617,0,0,0,0,0,155,196,40,54
1604,6,0,1,14,4,0,402,0,0,0,0,0,224,11,27,39
1609,8,0,2,19,5,0,1003,0,0,0,0,0,294,219,29,45
1812,11,1,3,26,7,0,276,0,0,0,0,0,124,84,251,25
1813,3,0,0,1,2,0,367,0,0,0,0,0,87,49,176,22
1814,8,2,3,13,13,0,184,0,0,0,0,0,101,144,18,6
1815,11,1,1,6,9,0,128,0,0,0,0,0,173,59,21,170
1816,20,0,5,7,11,0,867,0,2,0,0,0,342,257,72,248
1818,7,6,4,8,6,0,555,0,0,0,0,0,105,170,191,167
1819,11,0,1,4,7,0,182,0,0,0,0,0,47,169,24,42
1820,4,0,1,2,5,0,518,0,0,0,0,0,60,98,45,1
1821,6,0,5,0,7,0,277,0,0,0,0,0,54,230,102,54
1861,6,1,1,14,7,0,136,0,0,0,0,0,87,123,1,19
1863,39,2,4,17,29,0,235,0,0,0,0,0,380,408,128,189
1862,21,0,0,7,12,0,76,0,1,0,0,0,120,28,233,21
1864,16,0,2,3,5,0,91,0,0,0,0,0,2,86,53,28
1802,9,0,2,1,3,0,199,0,0,0,0,0,17,100,7,10
1801,5,1,1,3,3,0,170,0,0,0,0,0,46,127,49,32
1803,9,0,3,2,6,0,433,0,0,0,0,0,268,48,214,626
1804,20,1,3,12,9,0,407,0,0,0,0,0,198,172,25,28
1806,4,2,1,4,3,0,440,0,0,0,0,0,147,84,57,32
1805,11,0,1,11,4,0,238,0,0,0,0,0,148,122,48,10
1807,14,1,0,5,4,0,378,0,0,0,0,0,150,99,79,14
1808,15,1,1,7,12,0,272,0,0,0,0,0,70,58,159,14
1809,11,0,2,6,9,0,238,0,0,0,0,0,0,206,25,13
1810,19,0,0,2,12,0,241,3,0,0,0,0,164,131,41,74
1811,17,0,0,1,13,0,651,0,0,0,0,0,0,304,129,97
1817,19,1,3,12,5,0,469,0,1,0,0,0,171,117,120,492
2001,7,0,0,4,7,0,180,0,0,0,0,0,170,116,202,94
2002,30,0,1,6,14,0,872,0,1,0,0,0,209,313,307,747
2009,2,0,2,1,0,0,92,0,0,0,0,0,13,48,52,4
2008,5,1,1,2,8,0,145,0,0,0,0,0,23,38,98,117
2013,13,2,2,1,5,0,392,0,0,0,0,0,53,101,55,184
2063,4,0,0,1,4,0,112,0,0,0,0,0,150,215,104,38
2011,6,2,1,3,5,0,211,0,0,0,0,0,101,118,401,531
2014,11,2,1,4,9,0,109,0,0,0,0,0,95,21,9,5
2061,82,0,5,8,75,0,314,0,0,0,0,0,348,1047,283,3236
2005,6,0,1,9,6,0,243,1,0,0,0,0,25,112,162,23
2010,2,0,0,0,1,0,147,0,0,0,0,0,67,65,77,12
2003,12,0,1,4,19,0,206,0,0,0,0,0,148,56,55,180
2006,4,2,1,3,5,0,265,0,0,0,0,0,62,41,29,4
2007,5,3,2,5,3,0,509,0,0,0,0,0,118,53,38,35
2062,16,5,2,13,23,0,58,0,0,0,0,0,140,157,17,52
2004,6,1,2,3,12,0,192,0,0,0,0,0,159,15,60,5
2012,2,0,1,2,3,0,411,0,0,0,0,0,54,151,240,53
2211,16,2,4,8,13,0,133,0,0,0,0,0,0,250,485,313
2212,11,1,1,8,8,0,790,0,0,0,0,0,163,114,234,34
2215,24,1,5,8,43,0,622,1,0,0,0,0,286,552,1442,1634
2216,3,1,2,0,4,0,169,0,0,0,0,0,43,63,41,1
2264,11,3,0,3,12,0,36,0,0,0,0,0,0,70,301,767
2202,19,0,1,4,16,0,379,1,0,0,0,0,53,208,149,137
2261,111,8,7,20,91,2,533,0,0,0,0,0,283,855,1745,8629
2203,9,0,4,3,8,0,189,0,0,0,0,0,124,48,85,15
2262,65,15,3,13,84,0,280,0,0,0,0,0,158,588,1541,6955
2207,6,1,0,1,3,0,361,0,0,0,0,0,119,183,103,51
2263,11,3,2,7,14,0,61,0,0,0,0,0,90,121,33,14
2213,22,4,1,2,8,0,271,0,0,0,0,0,128,219,470,22
2214,22,1,0,4,12,0,342,0,0,0,0,0,198,121,99,44
2205,23,1,1,10,11,0,506,0,0,0,0,0,160,300,2540,162
2209,8,1,2,5,13,0,142,0,0,0,0,0,129,18,25,51
