codmun,pharmacy,hospital,police,school,bank,embassy,tower,commercial,industrial,government,supermarket,park,primary,secondary,unpaved,paved
20119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20121,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20124,0,0,0,0,0,0,41,0,0,0,0,0,4,0,7,0
20125,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0
20126,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
20127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130,0,0,0,2,0,0,0,0,0,0,0,0,0,3,42,0
20131,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0
20132,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
20133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20134,0,0,0,0,0,0,69,0,0,0,0,0,4,0,0,0
20135,0,0,0,0,0,0,16,0,0,0,0,0,0,0,5,0
20136,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20139,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
20140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20141,0,1,0,3,0,0,0,0,0,0,0,0,0,0,21,1
20142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20145,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20146,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
20147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20149,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20150,0,0,0,0,0,0,91,0,0,0,0,0,10,1,0,0
20151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20153,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20154,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20155,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
20156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20157,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0
20158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
20161,0,0,0,0,0,0,28,0,0,0,0,0,2,0,0,0
20162,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20163,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
20164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20165,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
20166,0,0,0,0,0,0,11,0,0,0,0,0,4,0,1,0
20167,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20168,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
20169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20173,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
20174,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
